:START_ID(Post),:END_ID(Tag)
1,storage
1,whole-bean
2,ground-coffee
2,drip-brew
2,pour-over
3,flavor
3,brewing-process
4,drip-brew
4,pour-over
5,espresso-machine
5,tamping
6,roasting
9,espresso
9,crema
10,espresso-machine
10,grinder
12,storage
12,ground-coffee
13,storage
13,ground-coffee
14,flavor
16,brewing-process
16,cold-brew
16,temperature
25,cleaning
26,espresso-machine
26,brewing-process
28,grinder
29,roasting
29,caffeine
29,beans
36,maintenance
38,ground-coffee
38,brewing-process
39,aeropress
39,identify-this
43,health
44,rating
44,strength
48,grinder
52,flavor
53,flavor
53,aeropress
53,v60
54,brewing-process
54,extraction
56,growing
56,farming
58,aeropress
58,crema
60,espresso
60,terminology
63,cappuccino
63,latte
63,milk
66,flavor
66,rating
66,bean-varieties
70,french-press
70,ground-coffee
75,temperature
78,brewing-process
78,moka
78,induction
79,brewing-process
79,caffeine
81,brewing-process
81,single-serving
84,flavor
84,grinder
89,beans
89,growing
93,espresso
93,flavor
94,espresso
94,caffeine
95,espresso
95,milk
96,cold-brew
96,extraction
97,crema
97,moka
98,filter
98,drip-brew
99,storage
99,freshness
100,whole-bean
100,arabica
104,ground-coffee
104,storage
107,sugar
107,nespresso
107,capsule
111,espresso
111,espresso-machine
111,cleaning
111,portafilter
113,storage
113,aroma
115,tamping
116,bean-varieties
116,arabica
120,decaffeinated
122,moka
123,storage
124,starbucks
125,espresso-machine
126,keurig
127,moka
128,caffeine
131,flavor
137,espresso
137,crema
139,health
139,kopiluwak
147,digestion
149,health
150,milk
150,foamed-milk
150,froth
153,espresso
153,crema
157,latte
157,cup
159,health
160,flavor
160,ground-coffee
160,storage
163,brewing-process
163,espresso
164,brewing-process
167,keurig
170,maintenance
171,flavor
171,tradition
171,cup
178,espresso
178,nespresso
178,capsule
180,keurig
183,ground-coffee
184,flavor
184,tasting
186,roasting
186,home-roasting
192,roasting
193,roasting
193,beans
202,brewing-process
202,espresso
204,caffeine
204,decaffeinated
208,health
208,decaffeinated
209,brewing-process
209,turkish-coffee
211,beans
212,chemistry
212,acid
214,milk
214,steamed-milk
214,foamed-milk
217,brewing-process
218,brewing-process
218,espresso-machine
218,identify-this
221,health
221,caffeine
222,health
222,caffeine
224,flavor
228,brewing-process
228,flavor
236,flavor
236,quality
240,espresso-machine
240,maintenance
242,espresso-machine
242,descaling
244,flavor
244,aeropress
245,storage
245,aeropress
250,flavor
253,filter
253,siphon
253,syphon
253,vacuum-coffee-maker
255,brewing-process
255,french-press
257,flavor
259,french-press
259,mouthfeel
263,mouthfeel
263,equipment
264,beans
270,espresso
270,nespresso
275,brewing-process
275,espresso-machine
282,espresso-machine
284,coffee-berries
285,caffeine
285,beans
286,french-press
286,single-serving
287,liquor
295,storage
295,caffeine
296,brewing-process
296,espresso
296,crema
297,french-press
299,flavor
299,health
300,single-serving
303,storage
303,iced-coffee
304,health
304,beans
304,whole-bean
311,farming
315,caffeine
315,ground-coffee
315,recycling
320,flavor
320,bean-varieties
320,quality
320,arabica
321,growing
321,farming
325,brewing-process
325,flavored-coffee
325,temperature
326,flavored-coffee
327,growing
327,farming
328,flavor
328,drip-brew
332,brewing-process
332,espresso
332,beans
332,equipment
337,brewing-process
337,drip-brew
337,pour-over
337,coffee-bloom
339,brewing-process
339,drip-brew
339,pour-over
343,roasting
344,latte
344,steamed-milk
344,latte-art
345,latte-art
