:START_ID(User),:END_ID(Post),timestamp
4,1,100
8,2,100
8,3,100
8,4,100
8,5,100
16,6,100
4,7,100
17,8,100
19,9,100
8,10,100
17,11,100
19,12,100
25,13,100
22,14,100
24,15,100
23,16,100
17,17,100
4,18,100
17,19,100
17,21,100
24,22,100
26,23,100
24,24,100
23,25,100
31,26,100
17,27,100
34,28,100
25,29,100
4,30,100
24,31,100
39,32,100
24,33,100
4,34,100
42,35,100
4,36,100
42,37,100
39,39,100
39,41,100
52,42,100
4,45,100
38,46,100
44,48,100
54,49,100
54,50,100
4,51,100
54,52,100
54,53,100
58,54,100
57,55,100
65,56,100
26,57,100
68,58,100
46,59,100
75,60,100
76,61,100
31,62,100
79,63,100
23,64,100
52,66,100
76,67,100
24,68,100
31,69,100
76,71,100
86,72,100
31,73,100
90,75,100
91,76,100
76,77,100
90,78,100
86,79,100
76,80,100
31,81,100
91,82,100
95,84,100
86,85,100
76,86,100
91,87,100
75,88,100
98,90,100
101,91,100
91,92,100
110,93,100
110,94,100
110,95,100
110,96,100
110,97,100
98,98,100
110,99,100
101,100,100
18,101,100
101,102,100
18,103,100
16,105,100
16,108,100
16,109,100
16,110,100
121,111,100
16,112,100
8,113,100
127,115,100
127,116,100
16,117,100
46,118,100
16,119,100
127,120,100
127,121,100
127,122,100
127,123,100
127,124,100
127,125,100
127,126,100
127,127,100
127,128,100
46,129,100
20,130,100
124,131,100
131,133,100
52,134,100
101,135,100
132,136,100
101,137,100
132,138,100
110,139,100
132,140,100
101,141,100
101,142,100
132,143,100
133,144,100
127,145,100
132,146,100
140,147,100
34,148,100
127,149,100
127,150,100
57,151,100
57,152,100
5,153,100
23,154,100
141,155,100
31,156,100
145,157,100
137,158,100
65,159,100
147,161,100
132,162,100
2,163,100
2,164,100
37,165,100
100,166,100
149,167,100
100,168,100
78,169,100
2,170,100
31,171,100
110,172,100
110,173,100
141,174,100
78,175,100
31,177,100
110,178,100
37,179,100
149,180,100
100,181,100
100,182,100
166,183,100
169,184,100
8,185,100
76,186,100
141,187,100
18,188,100
17,189,100
17,190,100
39,192,100
39,193,100
100,194,100
76,196,100
76,197,100
100,198,100
110,199,100
19,200,100
86,201,100
2,202,100
18,203,100
18,204,100
17,205,100
17,206,100
101,207,100
179,208,100
172,209,100
131,211,100
181,212,100
17,213,100
121,214,100
16,215,100
121,216,100
127,217,100
127,218,100
8,219,100
8,220,100
185,221,100
52,222,100
101,223,100
31,224,100
101,225,100
78,226,100
132,227,100
125,228,100
37,230,100
141,231,100
191,232,100
194,234,100
91,235,100
196,236,100
91,237,100
18,238,100
76,239,100
197,240,100
8,241,100
197,242,100
8,243,100
197,244,100
197,245,100
127,246,100
127,247,100
18,249,100
18,250,100
169,251,100
98,252,100
98,253,100
29,255,100
101,256,100
87,257,100
141,258,100
78,259,100
141,260,100
76,261,100
181,262,100
31,263,100
34,264,100
76,266,100
9,267,100
9,268,100
76,269,100
110,270,100
98,271,100
214,272,100
214,273,100
132,274,100
2,275,100
101,276,100
34,277,100
141,278,100
211,280,100
124,282,100
31,283,100
181,284,100
127,285,100
127,286,100
127,287,100
141,288,100
100,289,100
31,290,100
132,291,100
17,292,100
17,293,100
17,294,100
191,296,100
224,297,100
191,298,100
127,299,100
127,300,100
133,301,100
225,302,100
127,303,100
131,304,100
141,305,100
225,306,100
76,307,100
225,308,100
23,309,100
76,310,100
131,311,100
132,312,100
23,314,100
127,315,100
23,316,100
76,317,100
127,318,100
141,319,100
214,320,100
214,321,100
76,322,100
225,323,100
86,324,100
145,325,100
145,326,100
131,327,100
242,328,100
81,330,100
131,331,100
145,332,100
8,333,100
76,334,100
153,335,100
76,336,100
8,337,100
8,338,100
8,339,100
8,340,100
76,341,100
101,342,100
98,343,100
47,344,100
8,345,100
127,346,100
76,347,100
4,348,100
52,349,100
9,350,100
-1,357,100
-1,359,100
-1,360,100
-1,361,100
-1,363,100
52,365,100
127,366,100
127,367,100
127,368,100
127,369,100
1562,370,100
127,371,100
127,372,100
127,373,100
19,374,100
19,375,100
4,376,100
19,377,100
23,378,100
98,379,100
225,380,100
86,381,100
128,382,100
23,384,100
127,385,100
132,386,100
127,387,100
131,388,100
127,389,100
262,390,100
76,391,100
76,392,100
4,393,100
4,394,100
-1,397,100
-1,398,100
269,399,100
267,400,100
42,401,100
266,402,100
98,403,100
76,404,100
98,405,100
225,406,100
98,407,100
225,408,100
225,409,100
225,410,100
267,411,100
225,412,100
78,413,100
262,414,100
127,415,100
75,416,100
75,417,100
262,418,100
262,419,100
4,420,100
225,421,100
4,422,100
262,423,100
277,424,100
56,425,100
75,426,100
75,427,100
277,429,100
262,430,100
92,431,100
92,432,100
137,433,100
262,434,100
191,435,100
286,436,100
225,437,100
225,438,100
31,439,100
101,443,100
101,444,100
123,445,100
262,446,100
137,447,100
31,448,100
267,450,100
191,451,100
191,452,100
191,453,100
262,454,100
262,455,100
288,456,100
36,457,100
52,458,100
127,460,100
262,461,100
294,462,100
266,463,100
294,464,100
127,465,100
127,466,100
294,467,100
266,468,100
262,469,100
302,471,100
294,473,100
294,474,100
294,475,100
262,476,100
191,477,100
294,478,100
294,479,100
262,480,100
305,481,100
277,482,100
191,483,100
124,484,100
302,485,100
24,486,100
277,487,100
302,488,100
277,489,100
4,490,100
4,491,100
76,492,100
75,493,100
127,495,100
294,496,100
294,497,100
317,498,100
262,1496,100
262,1499,100
100,1500,100
76,1501,100
100,1503,100
75,1504,100
339,1505,100
75,1506,100
262,1507,100
98,1508,100
203,1509,100
127,1510,100
75,1515,100
75,1516,100
108,1518,100
230,1519,100
262,1521,100
127,1522,100
195,1523,100
262,1524,100
76,1526,100
259,1527,100
262,1528,100
362,1529,100
75,1530,100
75,1531,100
127,1533,100
75,1534,100
368,1535,100
127,1536,100
294,1537,100
294,1538,100
262,1539,100
259,1540,100
76,1541,100
277,1542,100
75,1543,100
75,1544,100
262,1545,100
75,1546,100
75,1547,100
75,1548,100
377,1549,100
379,1550,100
262,1551,100
127,1552,100
262,1553,100
23,1554,100
31,1555,100
141,1556,100
387,1557,100
75,1558,100
75,1559,100
-1,1560,100
262,1561,100
262,1562,100
191,1563,100
262,1564,100
262,1565,100
394,1566,100
75,1567,100
75,1568,100
76,1569,100
75,1570,100
75,1571,100
127,1572,100
262,1574,100
300,1575,100
127,1576,100
387,1577,100
262,1578,100
423,1579,100
-1,1580,100
75,1581,100
2,1582,100
2,1583,100
262,1584,100
75,1585,100
262,1586,100
266,1587,100
76,1588,100
34,1589,100
262,1590,100
34,1591,100
34,1592,100
157,1593,100
157,1594,100
157,1595,100
137,1596,100
76,1597,100
266,1598,100
127,1599,100
262,1600,100
157,1601,100
157,1602,100
179,1603,100
157,1604,100
157,1605,100
157,1606,100
262,1607,100
203,1608,100
137,1609,100
157,1611,100
157,1612,100
157,1613,100
157,1614,100
34,1615,100
443,1616,100
443,1617,100
446,1618,100
394,1619,100
127,1620,100
262,1621,100
262,1622,100
443,1623,100
271,1624,100
-1,1625,100
1931,1626,100
98,1627,100
262,1628,100
469,1629,100
472,1630,100
121,1631,100
34,1632,100
131,1633,100
140,1634,100
34,1635,100
34,1636,100
479,1637,100
469,1640,100
502,1641,100
137,1642,100
259,1643,100
16,1644,100
8,1645,100
137,1646,100
127,1647,100
510,1648,100
510,1649,100
76,1650,100
262,1651,100
526,1653,100
262,1654,100
527,1655,100
532,1656,100
75,1657,100
535,1658,100
23,1659,100
262,1660,100
262,1662,100
542,1664,100
542,1665,100
443,1666,100
548,1667,100
526,1668,100
262,1669,100
443,1670,100
535,1671,100
262,1672,100
556,1673,100
563,1675,100
443,1676,100
443,1677,100
76,1679,100
1118,1680,100
1118,1681,100
576,1682,100
576,1683,100
576,1684,100
576,1685,100
443,1686,100
266,1687,100
195,1688,100
34,1689,100
98,1690,100
76,1691,100
2,1692,100
76,1693,100
589,1694,100
589,1695,100
76,1696,100
591,1697,100
16,1698,100
595,1699,100
576,1701,100
576,1702,100
76,1703,100
599,1704,100
76,1705,100
602,1706,100
443,1707,100
443,1708,100
277,1709,100
101,1710,100
610,1711,100
612,1712,100
615,1713,100
623,1714,100
8,1715,100
624,1716,100
626,1717,100
86,1718,100
76,1719,100
615,1720,100
589,1721,100
76,1723,100
636,1725,100
137,1726,100
641,1727,100
642,1728,100
157,1730,100
652,1731,100
127,1732,100
652,1733,100
121,1734,100
71,1735,100
652,1737,100
86,1738,100
262,1740,100
262,1741,100
443,1742,100
-1,1743,100
75,1744,100
-1,1745,100
75,1746,100
662,1747,100
526,1748,100
44,1749,100
668,1750,100
612,1751,100
76,1752,100
612,1753,100
5,1754,100
137,1756,100
676,1757,100
676,1758,100
262,1759,100
157,1760,100
52,1761,100
652,1762,100
282,1765,100
75,1766,100
76,1767,100
676,1768,100
699,1769,100
676,1770,100
-1,1772,100
75,1773,100
98,1774,100
52,1775,100
137,1776,100
709,1777,100
25,1778,100
127,1779,100
712,1780,100
101,1781,100
101,1782,100
683,1784,100
76,1785,100
277,1786,100
195,1788,100
652,1789,100
722,1790,100
683,1791,100
145,1792,100
145,1793,100
726,1794,100
726,1795,100
652,1796,100
652,1797,100
76,1799,100
730,1800,100
56,1801,100
676,1802,100
76,1809,100
121,1810,100
157,1811,100
157,1812,100
157,1813,100
76,1814,100
76,1815,100
76,1816,100
458,1817,100
526,1818,100
730,1819,100
741,1820,100
101,1821,100
683,1822,100
101,1823,100
101,1824,100
683,1825,100
747,1826,100
747,1828,100
747,1830,100
101,1831,100
749,1832,100
755,1833,100
758,1834,100
157,1835,100
768,1837,100
25,1838,100
225,1839,100
225,1840,100
149,1841,100
775,1842,100
686,1843,100
780,1844,100
780,1845,100
788,1846,100
798,1847,100
780,1848,100
225,1849,100
225,1850,100
803,1851,100
804,1852,100
123,1853,100
1940,1854,100
976,1855,100
816,1856,100
-1,1857,100
819,1858,100
819,1859,100
819,1860,100
563,1861,100
563,1862,100
819,1863,100
612,1864,100
612,1865,100
612,1866,100
612,1867,100
612,1868,100
827,1869,100
76,1870,100
2,1872,100
780,1873,100
563,1875,100
195,1876,100
563,1877,100
819,1878,100
780,1879,100
803,1880,100
526,1881,100
225,1882,100
862,1883,100
98,1884,100
869,1885,100
76,1886,100
76,1889,100
873,1890,100
616,1891,100
76,1892,100
882,1893,100
883,1894,100
886,1895,100
76,1896,100
225,1897,100
883,1898,100
23,1899,100
883,1900,100
262,1901,100
262,1902,100
887,1903,100
76,1904,100
898,1905,100
898,1906,100
101,1907,100
101,1908,100
101,1909,100
916,1911,100
917,1912,100
918,1914,100
225,1915,100
262,1916,100
870,1917,100
924,1918,100
924,1919,100
924,1920,100
929,1921,100
924,1922,100
922,1923,100
589,1925,100
127,1926,100
76,1927,100
946,1929,100
883,1932,100
924,1933,100
924,1934,100
954,1935,100
959,1936,100
262,1937,100
959,1938,100
959,1939,100
959,1940,100
970,1943,100
262,1944,100
974,1945,100
959,1946,100
976,1949,100
976,1950,100
976,1951,100
980,1952,100
676,1953,100
883,1954,100
981,1955,100
982,1956,100
982,1957,100
982,1958,100
982,1959,100
976,1960,100
984,1961,100
175,1962,100
76,1963,100
988,1964,100
262,1965,100
262,1966,100
989,1967,100
989,1968,100
990,1969,100
98,1970,100
262,1971,100
262,1972,100
984,1973,100
993,1974,100
982,1975,100
994,1976,100
998,1977,100
101,1978,100
262,1979,100
1000,1980,100
825,1981,100
1004,1982,100
563,1983,100
803,1984,100
76,1985,100
127,1986,100
262,1987,100
192,1988,100
1010,1989,100
1016,1991,100
959,1992,100
1016,1993,100
1024,1995,100
1026,1996,100
825,1997,100
1027,1998,100
132,1999,100
1024,2001,100
1031,2002,100
1031,2003,100
1037,2004,100
1042,2005,100
443,2007,100
1031,2008,100
76,2009,100
1011,2010,100
1062,2012,100
1062,2013,100
262,2014,100
1064,2015,100
1068,2016,100
1068,2017,100
1062,2019,100
924,2020,100
825,2021,100
127,2023,100
127,2024,100
262,2025,100
127,2026,100
127,2027,100
262,2028,100
959,2029,100
262,2030,100
1093,2032,100
262,2033,100
76,2034,100
1096,2035,100
959,2036,100
1087,2037,100
1102,2038,100
262,2039,100
1062,2040,100
959,2041,100
825,2042,100
-1,2043,100
976,2044,100
-1,2045,100
976,2046,100
-1,2047,100
976,2048,100
-1,2049,100
976,2050,100
121,2051,100
924,2052,100
1087,2053,100
1116,2054,100
76,2055,100
1117,2056,100
1118,2057,100
976,2058,100
1123,2059,100
1068,2060,100
1126,2061,100
959,2062,100
1120,2063,100
959,2065,100
1143,2067,100
1068,2068,100
37,2069,100
262,2070,100
75,2072,100
1160,2073,100
118,2074,100
127,2075,100
691,2076,100
75,2077,100
1160,2078,100
1068,2079,100
1171,2080,100
1174,2081,100
75,2082,100
127,2083,100
1188,2084,100
1189,2085,100
1192,2086,100
1118,2087,100
1200,2088,100
642,2089,100
959,2090,100
1223,2091,100
1223,2093,100
76,2094,100
1231,2095,100
1223,2096,100
1242,2097,100
75,2098,100
1248,2100,100
1251,2101,100
76,2102,100
1264,2103,100
262,2104,100
1251,2105,100
1026,2106,100
1251,2107,100
825,2109,100
1277,2110,100
1277,2111,100
1277,2112,100
1281,2113,100
1251,2114,100
1285,2115,100
1287,2116,100
1288,2117,100
76,2119,100
1296,2120,100
1299,2121,100
1302,2122,100
195,2123,100
1305,2124,100
1309,2125,100
262,2126,100
1317,2127,100
25,2128,100
1319,2129,100
924,2130,100
652,2131,100
262,2132,100
750,2133,100
1333,2134,100
1334,2135,100
1348,2137,100
1348,2138,100
1351,2139,100
1356,2140,100
262,2141,100
262,2142,100
1362,2143,100
1327,2144,100
1327,2145,100
1327,2146,100
1327,2147,100
1327,2148,100
1327,2149,100
1365,2150,100
1327,2151,100
1223,2152,100
1327,2153,100
1343,2154,100
101,2155,100
642,2156,100
1386,2157,100
1386,2158,100
924,2159,100
1174,2160,100
1327,2161,100
1157,2162,100
1393,2163,100
1400,2164,100
1403,2165,100
1157,2166,100
277,2167,100
1327,2168,100
34,2169,100
1417,2170,100
1157,2171,100
1327,2172,100
1357,2173,100
1420,2174,100
277,2175,100
1423,2176,100
127,2177,100
76,2178,100
1427,2179,100
1068,2182,100
1431,2183,100
1431,2184,100
1431,2185,100
1433,2186,100
1251,2187,100
1068,2188,100
262,2189,100
1327,2190,100
1327,2191,100
1432,2192,100
1026,2195,100
1026,2196,100
589,2197,100
803,2198,100
1452,2199,100
1455,2200,100
1456,2201,100
1457,2203,100
1457,2204,100
1118,2205,100
262,2206,100
1102,2208,100
1327,2209,100
1468,2210,100
1251,2211,100
1423,2212,100
1482,2213,100
1486,2214,100
1488,2217,100
1492,2218,100
1157,2219,100
1157,2220,100
1494,2221,100
127,2222,100
127,2223,100
127,2224,100
127,2225,100
1488,2226,100
924,2227,100
1492,2228,100
1327,2229,100
970,2230,100
1068,2232,100
616,2233,100
1526,2235,100
1527,2236,100
1525,2237,100
1118,2238,100
1530,2239,100
1531,2240,100
1531,2241,100
1543,2243,100
-1,2244,100
1527,2245,100
1157,2247,100
1558,2249,100
1531,2250,100
76,2251,100
1564,2252,100
277,2255,100
1574,2256,100
1576,2257,100
1431,2259,100
1431,2260,100
1431,2262,100
1585,2264,100
1502,2265,100
262,2266,100
1587,2267,100
1527,2269,100
1589,2270,100
1068,2271,100
1596,2273,100
76,2274,100
1604,2275,100
1118,2277,100
1348,2278,100
1348,2279,100
1348,2280,100
739,2281,100
1442,2282,100
1442,2283,100
1442,2284,100
1157,2285,100
1118,2286,100
1494,2287,100
1492,2288,100
1492,2289,100
1618,2290,100
1618,2291,100
98,2292,100
1621,2293,100
1631,2294,100
1492,2295,100
1348,2297,100
1611,2298,100
1638,2299,100
1096,2300,100
1068,2301,100
1627,2302,100
1647,2303,100
1637,2304,100
1637,2305,100
1527,2306,100
730,2307,100
100,2308,100
100,2309,100
34,2310,100
1666,2311,100
1118,2312,100
1068,2313,100
1670,2314,100
1068,2315,100
262,2316,100
1683,2317,100
1683,2318,100
1118,2319,100
1637,2320,100
1688,2321,100
1692,2322,100
1692,2323,100
1693,2324,100
1695,2326,100
1569,2327,100
1702,2328,100
76,2329,100
1721,2331,100
1525,2332,100
1722,2333,100
1722,2334,100
1431,2335,100
1431,2337,100
1723,2338,100
76,2339,100
443,2340,100
1741,2341,100
1741,2342,100
1751,2345,100
1741,2346,100
1741,2347,100
1757,2348,100
1762,2349,100
1766,2350,100
262,2351,100
1769,2352,100
1118,2353,100
98,2354,100
1118,2355,100
1776,2357,100
1712,2358,100
262,2359,100
262,2360,100
262,2361,100
262,2362,100
1786,2363,100
612,2365,100
612,2366,100
277,2369,100
76,2370,100
1838,2371,100
1842,2372,100
1502,2373,100
76,2374,100
1850,2375,100
1848,2376,100
1848,2377,100
1850,2378,100
1848,2379,100
1848,2380,100
1723,2381,100
76,2382,100
1854,2383,100
277,2384,100
262,2385,100
1848,2386,100
1850,2387,100
76,2388,100
1741,2389,100
1858,2390,100
76,2391,100
1848,2392,100
1863,2393,100
277,2394,100
1848,2395,100
1867,2396,100
1872,2397,100
277,2399,100
76,2402,100
1892,2403,100
1894,2404,100
1895,2405,100
1850,2407,100
98,2408,100
1848,2409,100
1903,2410,100
1904,2411,100
1525,2415,100
1762,2416,100
1431,2417,100
262,2418,100
1248,2420,100
1431,2421,100
1931,2422,100
76,2423,100
1931,2424,100
1940,2425,100
1940,2426,100
1942,2427,100
1936,2429,100
1940,2430,100
1502,2431,100
1931,2432,100
1949,2433,100
76,2434,100
1702,2435,100
127,2436,100
1931,2437,100
214,2438,100
76,2439,100
76,2440,100
1931,2441,100
1970,2442,100
76,2443,100
1972,2444,100
1982,2445,100
1982,2446,100
1983,2447,100
1989,2449,100
1302,2451,100
959,2452,100
1327,2453,100
1327,2454,100
1431,2455,100
1431,2456,100
1431,2457,100
1431,2458,100
2004,2459,100
2005,2460,100
1954,2461,100
1970,2462,100
443,2463,100
1431,2464,100
1431,2465,100
1989,2466,100
1989,2467,100
1936,2468,100
1989,2469,100
2009,2470,100
1665,2471,100
2019,2472,100
819,2473,100
1972,2475,100
1931,2476,100
2026,2477,100
1867,2478,100
191,2479,100
1936,2480,100
127,2481,100
1895,2482,100
127,2483,100
1931,2484,100
-1,2485,100
1931,2486,100
-1,2487,100
1931,2488,100
2036,2489,100
98,2490,100
2041,2491,100
1936,2492,100
959,2493,100
98,2494,100
127,2495,100
2015,2496,100
127,2497,100
262,2498,100
262,2499,100
262,2500,100
-1,2501,100
1931,2502,100
1431,2503,100
1431,2504,100
1431,2505,100
2058,2506,100
262,2507,100
2069,2508,100
2072,2509,100
2072,2511,100
2076,2513,100
898,2514,100
2081,2515,100
2081,2516,100
2015,2517,100
2015,2518,100
2082,2519,100
1952,2522,100
262,2523,100
2087,2526,100
2090,2527,100
1952,2528,100
1954,2529,100
262,2530,100
1525,2531,100
2015,2533,100
1118,2534,100
2094,2535,100
1848,2536,100
2015,2537,100
2089,2538,100
2104,2539,100
2104,2540,100
2015,2541,100
2107,2542,100
2107,2543,100
2107,2544,100
2107,2545,100
2109,2546,100
1238,2547,100
2089,2548,100
76,2549,100
2118,2550,100
262,2551,100
2089,2552,100
443,2554,100
2136,2555,100
262,2556,100
2146,2557,100
730,2558,100
1931,2559,100
2118,2560,100
2089,2561,100
2160,2562,100
1848,2563,100
1393,2564,100
2163,2565,100
1431,2567,100
1431,2568,100
1431,2569,100
2196,2570,100
1848,2571,100
2148,2572,100
98,2573,100
262,2574,100
2015,2575,100
2110,2577,100
1118,2579,100
2015,2580,100
98,2581,100
1431,2582,100
1848,2583,100
2219,2584,100
2220,2585,100
2221,2586,100
2223,2587,100
2229,2588,100
819,2589,100
544,2591,100
1848,2592,100
271,2593,100
2241,2594,100
2241,2595,100
2241,2596,100
1848,2597,100
2244,2598,100
1589,2599,100
1848,2601,100
2246,2602,100
1502,2603,100
76,2604,100
98,2605,100
2118,2606,100
76,2607,100
362,2608,100
362,2609,100
362,2610,100
362,2611,100
2257,2612,100
2258,2613,100
1205,2614,100
2118,2615,100
443,2617,100
443,2618,100
2266,2619,100
2266,2620,100
2270,2623,100
2276,2624,100
1848,2625,100
2271,2626,100
2281,2627,100
2276,2628,100
2282,2629,100
1896,2631,100
1896,2632,100
2285,2633,100
443,2634,100
362,2635,100
2118,2640,100
1702,2641,100
2305,2642,100
2306,2643,100
2309,2644,100
1848,2645,100
1848,2646,100
2276,2647,100
2316,2648,100
2285,2649,100
2202,2650,100
1502,2651,100
1896,2652,100
1848,2653,100
1848,2654,100
1848,2655,100
395,2656,100
2118,2657,100
2324,2658,100
1431,2660,100
1431,2661,100
2339,2662,100
2346,2663,100
2345,2664,100
1848,2665,100
1848,2667,100
1848,2668,100
2353,2669,100
1848,2670,100
2118,2671,100
2349,2672,100
2349,2673,100
2363,2674,100
2118,2675,100
2241,2678,100
1848,2679,100
2388,2680,100
1848,2681,100
2396,2682,100
2396,2683,100
76,2684,100
76,2685,100
2396,2686,100
2397,2687,100
2399,2688,100
2207,2689,100
2400,2690,100
76,2691,100
76,2692,100
2372,2693,100
1118,2694,100
2412,2695,100
2418,2696,100
1848,2697,100
1702,2698,100
2418,2699,100
2230,2700,100
2374,2701,100
2424,2703,100
98,2704,100
131,2705,100
1502,2706,100
1848,2707,100
1848,2708,100
1848,2709,100
2207,2710,100
76,2711,100
2230,2712,100
2440,2714,100
2207,2715,100
2104,2716,100
2444,2717,100
1848,2718,100
1702,2719,100
362,2720,100
362,2721,100
76,2722,100
262,2727,100
1848,2728,100
262,2729,100
400,2730,100
400,2731,100
1848,2732,100
2468,2733,100
262,2734,100
127,2735,100
127,2736,100
262,2737,100
1848,2738,100
1431,2739,100
2483,2740,100
1256,2741,100
1319,2742,100
2488,2743,100
2492,2744,100
2493,2745,100
127,2746,100
1848,2747,100
2494,2748,100
2493,2749,100
2493,2750,100
2367,2751,100
2412,2752,100
76,2753,100
2493,2754,100
101,2755,100
1848,2756,100
76,2757,100
819,2758,100
819,2759,100
1922,2760,100
2418,2763,100
1848,2764,100
2512,2765,100
2493,2766,100
2230,2767,100
2520,2768,100
1848,2769,100
262,2770,100
825,2771,100
1848,2772,100
-1,2773,100
1848,2774,100
1068,2775,100
2541,2776,100
1848,2777,100
1896,2778,100
1896,2779,100
2207,2780,100
2549,2781,100
2551,2782,100
1118,2783,100
1848,2784,100
2551,2786,100
76,2787,100
2556,2788,100
2560,2789,100
2412,2791,100
1848,2792,100
2493,2793,100
2565,2794,100
1848,2795,100
1848,2796,100
1848,2797,100
2568,2799,100
1848,2800,100
